Rank,Player,Team,Pos,Value
1,Giannis Antetokounmpo, ,SF,34.28
2,James Harden,Houston Rockets,SG,32.46
3,Joel Embiid,Philadelphia 76ers,PF,30.96
4,Karl-Anthony Towns,Minnesota Timberwolves,C,30.36
5,Nikola Jokic, ,C,29.95
6,Russell Westbrook, ,PG,28.73
7,Kevin Durant,Golden State Warriors,SF,28.12
8,Kawhi Leonard,Toronto Raptors,SF,28.11
9,Paul George, ,SF,27.26
10,Nikola Vucevic, ,C,27.14
11,Andre Drummond,Detroit Pistons,C,26.86
12,Rudy Gobert,Utah Jazz,C,26.58
13,Stephen Curry, ,PG,26.31
14,Clint Capela,Houston Rockets,C,24.82
15,Damian Lillard,Portland Trail Blazers,PG,24.74
16,Kyrie Irving,Boston Celtics,PG,24.49
17,Ben Simmons,Philadelphia 76ers,SG,24.27
18,LaMarcus Aldridge,San Antonio Spurs,C,24.23
19,Bradley Beal,Washington Wizards,SG,24.17
20,Blake Griffin, ,PF,23.70
21,Julius Randle,New Orleans Pelicans,C,22.85
22,DeMar DeRozan,San Antonio Spurs,SG,22.63
23,DeAndre Ayton,Phoenix Suns,C,22.62
24,Kemba Walker, ,PG,22.55
25,Jusuf Nurkic,Portland Trail Blazers,C,22.54
26,Luka Doncic,Dallas Mavericks,SF,21.58
27,Tobias Harris,Philadelphia 76ers,SF,21.43
28,Jimmy Butler,Philadelphia 76ers,SG,20.95
29,Mike Conley,Memphis Grizzlies,PG,20.84
30,Pascal Siakam,Toronto Raptors,PF,20.26
31,Danilo Gallinari,L.A. Clippers,SF,20.18
32,Domantas Sabonis,Indiana Pacers,PF,19.86
33,Montrezl Harrell,L.A. Clippers,PF,19.85
34,Al Horford,Boston Celtics,C,19.83
35,Hassan Whiteside,Miami Heat,C,19.71
36,Steven Adams,Oklahoma City Thunder,C,19.53
37,Kyle Lowry, ,PG,19.37
38,Draymond Green,Golden State Warriors,PF,19.36
39,De'Aaron Fox,Sacramento Kings,PG,18.93
40,D'Angelo Russell, ,PG,18.76
41,Enes Kanter,Portland Trail Blazers,C,18.65
42,Khris Middleton, ,SF,18.48
43,Marc Gasol,Toronto Raptors,C,18.35
44,Trae Young,Atlanta Hawks,PG,18.27
45,Buddy Hield,Sacramento Kings,SG,18.27
46,Donovan Mitchell,Utah Jazz,SG,18.18
47,Aaron Gordon,Orlando Magic,PF,18.05
48,Willie Cauley-Stein,Sacramento Kings,C,17.99
49,CJ McCollum,Portland Trail Blazers,SG,17.97
50,Klay Thompson,Golden State Warriors,SG,17.93
51,Myles Turner,Indiana Pacers,C,17.74
52,Eric Bledsoe,Milwaukee Bucks,PG,17.68
53,Jamal Murray,Denver Nuggets,SG,17.49
54,Jarrett Allen,Brooklyn Nets,C,17.45
55,Lou Williams,L.A. Clippers,SG,17.41
56,JaVale McGee,Los Angeles Lakers,C,17.40
57,Derrick Favors,Utah Jazz,PF,17.07
58,Serge Ibaka,Toronto Raptors,C,16.97
59,Rudy Gay,San Antonio Spurs,SF,16.68
60,Malcolm Brogdon,Milwaukee Bucks,SG,16.61
61,Thaddeus Young,Indiana Pacers,PF,16.56
62,Paul Millsap,Denver Nuggets,PF,16.45
63,Kyle Kuzma,Los Angeles Lakers,PF,16.41
64,Jayson Tatum,Boston Celtics,SF,16.41
65,Jeremy Lamb,Charlotte Hornets,SG,16.16
66,Bojan Bogdanovic,Indiana Pacers,SF,16.05
67,Josh Richardson,Miami Heat,SG,15.55
68,Thomas Bryant,Washington Wizards,C,15.46
69,Bam Adebayo,Miami Heat,C,15.35
70,Jerami Grant,Oklahoma City Thunder,SF,15.01
71,Darren Collison,Indiana Pacers,PG,14.96
72,Marcus Morris,Boston Celtics,PF,14.94
73,Joe Ingles,Utah Jazz,SF,14.92
74,Taj Gibson,Minnesota Timberwolves,PF,14.83
75,Brook Lopez,Milwaukee Bucks,C,14.75
76,Ricky Rubio,Utah Jazz,PG,14.64
77,Dwight Powell,Dallas Mavericks,PF,14.43
78,Spencer Dinwiddie,Brooklyn Nets,PG,14.29
79,Andrew Wiggins,Minnesota Timberwolves,SF,14.21
80,JJ Redick,Philadelphia 76ers,SG,13.82
81,Harrison Barnes,Sacramento Kings,SF,13.78
82,D.J. Augustin,Orlando Magic,PG,13.74
83,Dwyane Wade,Miami Heat,SG,13.72
84,Reggie Jackson,Detroit Pistons,PG,13.60
85,Gordon Hayward,Boston Celtics,SF,13.57
86,Nicolas Batum,Charlotte Hornets,SF,13.49
87,Al-Farouq Aminu,Portland Trail Blazers,SF,13.46
88,Bogdan Bogdanovic,Sacramento Kings,SG,13.43
89,Joe Harris,Brooklyn Nets,SF,13.40
90,Jordan Clarkson,Cleveland Cavaliers,PG,13.38
91,Nemanja Bjelica,Sacramento Kings,PF,13.35
92,Mason Plumlee,Denver Nuggets,PF,13.27
93,Derrick White,San Antonio Spurs,PG,13.26
94,Tomas Satoransky,Washington Wizards,SG,13.25
94,Dennis Schroder,Oklahoma City Thunder,PG,13.25
96,Patrick Beverley,L.A. Clippers,PG,13.18
97,Ed Davis,Brooklyn Nets,C,12.95
98,Evan Fournier,Orlando Magic,SG,12.91
99,Jeff Green,Washington Wizards,SF,12.84
100,Cedi Osman,Cleveland Cavaliers,SF,12.84
